name;description;category;contacts;earnings;requiredSkills;bonusSkills;filename;prompt
Soldato;"Questo mestiere comprende qualsiasi tipo di militare, indipendentemente dal rango. Dopo l'addestramento base, chi aspira a ruoli di comando deve affrontare anche la formazione da ufficiale. Molti soldati provengono da campagne coloniali, guerre passate o corpi speciali. Una volta congedati, trovano impiego come guardie, mercenari o istruttori, spesso portandosi dietro disciplina, traumi e cicatrici invisibili.";forze_armate;altri soldati|polizia locale|funzionari stranieri;da Classe Lavoratrice a Borghesia Agiata;Armi da fuoco|Sopravvivenza|Armi da taglio|Atletica|Cavalcare|Armi pesanti;Primo soccorso:10;"soldato.png";"military rifle, brass buttons, peaked cap"
Attivista;"L'altra faccia della politica. L'attivista è colui che scende in strada per promuovere campagne, opporsi al governo e fare propaganda in favore delle cause più disparate. Possono essere sindacalisti che si battono per i diritti dei lavoratori, o persone che lottano per il suffragio universale, per l'abolizione dei titoli nobiliari, o addirittura per instaurare una repubblica.";politica;Altri attivisti|Polizia locale|giornali;da Povertà a Borghesia Agiata;Percezione|Oratoria|Legge|Tempra|Empatia|Autocontrollo;Bassifondi:10;"attivista.png";"protest banner, megaphone, pamphlets"
Archeologo;"Lo studio e l'esplorazione del passato. Fondamentalmente l'identificazione, esame, e analisi di reperti legati alla storia umana. Questo lavoro implica ricerche difficoltose e studi meticolosi, senza escludere un atteggiamento disponibile a sporcarsi le mani. Alla fine dell'ottocento, gli archeologi di successo diventano delle celebrità, come gli esploratori e gli avventurieri. Per quanto alcuni usassero metodi scientifici, molti erano ben lieti di avvalersi della forza bruta nello svelare i segreti del passato: alcuni individui di bassa lega arrivavano addirittura a usare la dinamite.";studiosi;altri archeologi|dipendenti di museo|mecenati;da Lower Middle Class in su, a seconda del successo;Archeologia|Biblioteconomia|Cercare|Lingua Straniera|Orientamento|Valutare;Storia:10;"archeologo.png";"ancient artifact, brush, pith helmet"
Curatore di museo;"Può essere dipendente di una grossa struttura, come un'università o un'istituzione pubblica, oppure di un piccolo museo privato, spesso specializzato in storia locale, scienze naturali o antichità esotiche. I curatori si occupano di catalogare reperti, trattare con collezionisti, scienziati o archeologi.";studiosi;dipendenti di museo|mecenati|funzionari locali;da Lower Middle Class a Borghesia Agiata;Archeologia|Storia|Biblioteconomia|Contabilità|Lingua Straniera|Valutare;Antropologia:10;"curatore-di-museo.png";"ancient vase, magnifying glass, catalog book"
Professore;"Figura che svolge il proprio lavoro presso università, collegi, scuole pubbliche e private, o presso abitazioni di famiglie facoltose. Occasionalmente possono essere assunti da qualche grande società per la formazione degli impiegati, per tenere seminari o scrivere pubblicazioni di carattere tecnico.";studiosi;altri insegnanti|mondo accademico|Alta società;da Classe Lavoratrice a Borghesia Agiata;Lingua Madre|Biblioteconomia|Archeologia|Storia|Empatia|Oratoria;Persuadere:10;"professore.png";"stack of books, spectacles, quill pen"
Ricercatore;"Finanziati da università, musei o enti privati, i ricercatori si occupano di studi in ambito scientifico, fisico, astronomico o antropologico. Alcuni lavorano in laboratorio, scrivendo e sperimentando in ambienti chiusi; altri vengono inviati sul campo, anche all'estero, per condurre ricerche su tribù, rovine antiche, siti minerari o territori coloniali. I più fortunati si muovono tra spedizioni ben finanziate e cattedre accademiche; altri devono arrangiarsi con poco, affrontando condizioni estreme o ostilità locali, spesso spinti più dalla curiosità che dal prestigio.";studiosi;altri ricercatori|mondo accademico|funzionari locali;da Lower Middle Class a Upper Middle Class;Biblioteconomia|Cercare|Lingua Straniera|Storia|Ammaliare|Archeologia;Valutare:10;"ricercatore.png";"brass microscope, notebook, glass vials"
Studente;"Si tratta di uno studente di università o di college, oppure di un individuo che ha ormai finito gli studi, ma rimane al fianco del professore cercando di fare carriera dall'interno.";studiosi;altri studenti|mondo accademico|funzionari locali;da Povertà a Lower Middle Class;Percezione|Biblioteconomia|Lingua Madre|Lingua Straniera|Archeologia|Biologia;Leggere le labbra:10;"studente.png";"stack of books, satchel, quill pen"
Avventuriera;"Un eufemismo per la donna che, grazie alla sua associazione con corteggiatori e ammiratori dell'Alta Società, riusciva a ottenere potere, rispetto e talvolta anche un'approvazione riluttante da parte della società vittoriana. Spesso l'Avventuriera lavorava nel teatro o in qualche altra forma di intrattenimento. Talvolta scaltra, sempre competente e intelligente, poteva influenzare profondamente la vita del suo corteggiatore del momento. L'Avventuriera poteva provenire da qualsiasi classe sociale, La sua posizione sociale effettiva coincideva con quella del suo corteggiatore attuale ma solo finché lui rimaneva il suo protettore o finché il denaro non si esauriva. Dopo, il suo status tornava a quello della sua nascita. Naturalmente, i pari del suo protettore la vedevano sempre in termini della sua classe sociale d'origine.";professioni_varie;alta società|funzionari locali|mondo degli affari;da Middle Class ad Alta Borghesia;Ammaliare|Empatia|Galateo|Raggirare|Cavalcare|Danza;Rapidità di mano:10;"avventuriera.png";"elegant fan, pearl necklace, evening gloves"
Inventore;"Di solito si tratta di uno scienziato o di un medico che dedica tutta la vita, o buona parte di essa, alla scoperta e al perfezionamento di qualche nuova tecnologia, che sia in campo elettrico, meccanico, fotografico.";professioni_varie;altri ingegneri|mondo accademico|mondo degli affari;variabile, a seconda del successo;Pittura e Disegno|Riparazione elettrica|Riparazione meccanica|Artigianato|Fisica|Chimica;Esplosivi:10;"inventore.png";"brass gears, blueprint, wrench"
Antiquario;"Di solito è proprietario di un negozio, ma può intraprendere lunghi viaggi per arricchire la propria collezione o commerciare manufatti rari e oggetti d'epoca. Collabora spesso con collezionisti privati, musei, archeologi e studiosi, ma non è raro che si muova in ambienti ambigui, al confine tra legalità e contrabbando. Alcuni antiquari possiedono un'elevata cultura storica; altri sono abili solo nel riconoscere, restaurare e vendere pezzi interessanti, anche se di dubbia provenienza.";professioni_varie;altri antiquari|dipendenti di musei|mercato nero;da Lower Middle Class a Borghesia Agiata;Artigianato|Biblioteconomia|Cercare|Storia|Valutare|Ammaliare;Riparazione meccanica:10;"antiquario.png";"antique vase, magnifying glass, pocket watch"
Bibliotecario;"I bibliotecari sono spesso impiegati di istituzioni pubbliche o università, responsabili della catalogazione e mantenimento della collezione, oltre che della gestione prestiti. Alcune grandi ditte impiegano i bibliotecari per gestire grosse collezioni e ogni tanto viene fuori l'opportunità di prendere in cura la biblioteca privata di un ricco collezionista.";professioni_varie;altri bibliotecari|mondo accademico|dipendenti di museo;da Classe Lavoratrice a Upper Middle Class;Biblioteconomia|Contabilità|Lingua Madre|Lingua Straniera|Storia|Archeologia;Crittografia:10;"bibliotecario.png";"stack of books, reading glasses, library ladder"
Dilettante;"I dilettanti sono autosufficienti, vivono grazie a un'eredità, un fondo d'investimento o qualche forma di introito che non li obbliga a lavorare. Di solito un dilettante dispone di tanti soldi da aver bisogno di un consulente finanziario che se ne occupi. Probabilmente ben istruito, per quanto non sia necessariamente competente in nessuna materia. I soldi permettono al dilettante di comportarsi in maniera eccentrica ed esplicita.";professioni_varie;Altri dilettanti|alta società|funzionari locali;da Upper Middle Class a Élite Economica;Galateo|Pittura e Disegno|Archeologia|Cavalcare|Lingua Straniera|Ammaliare;Armi da fuoco:10;"dilettante.png";"monocle, walking cane, pocket watch"
Becchino;"I becchini, detti anche impresari funerari, gestiscono l'attività delle cerimonie funebri. Il loro lavoro comprende la sepoltura e la cremazione dei defunti. In caso di sepoltura, il becchino si cura dell'imbalsamatura, dell'abbigliamento, della bara e del trucco del deceduto. I becchini ricevono la loro licenza di attività dallo stato. Sono i proprietari della loro agenzia funebre o ne sono dipendenti.";professioni_varie;Impresari di pompe funebri|polizia locale|criminali di strada;da Sottoproletariato a Lower Middle Class;Atletica|Guidare carrozza|Biologia|Camuffarsi|Artigianato|Contabilità;Scienza Forense:10;"becchino.png";"top hat, black gloves, wooden coffin"
Marinaio mercantile;"Questo genere di marinaio lavora solitamente su un cargo. Viene ingaggiato per un viaggio alla volta e pagato tramite un piccolo anticipo prima della partenza, mentre il resto viene saldato all'arrivo in porto. Non è possibile possedere un'imbarcazione in gioco.";professioni_varie;altri marinai|sindacalisti|polizia portuale;da Povertà a Lower Middle Class;Percezione|Navigare|Nuotare|Riparazione meccanica|Sopravvivenza|Primo soccorso;Bassifondi:10;"marinaio-mercantile.png";"coiled rope, sailor cap, anchor"
Vagabondo;"Può trattarsi di un disoccupato, un ubriacone o semplicemente di uno spirito libero, in continuo viaggio da un continente all'altro, lavorando solo quando è necessario.";professioni_varie;altri vagabondi|criminali di strada|polizia locale;da Indigenza a Sottoproletariato;Bassifondi|Percezione|Furtività|Orientamento|Scassinare|Rapidità di mano;Primo soccorso:10;"vagabondo.png";"worn satchel, ragged coat, walking stick"
Servitù;"Camerieri cuochi maggiordomi governanti domestici altre figure servizio famiglie benestanti istituzioni. Vivono residenza datore lavoro accesso privilegiato vita privata padroni.";professioni_varie;alta società|mondo degli affari|criminali di strada;Da povertà a Classe Lavoratrice;Pittura e Disegno|Bassifondi|Empatia|Ammaliare|Percezione|Furtività;Rapidità di mano:10;"servitu.png";"white apron, silver tray, feather duster"
